,dataset,loss,seed,coverage,length,target,lr,dropout
0,boston,IR,0,0.9117647409439088,1.2259310483932495,0.9,0.1,0.1
0,boston,IR,1,0.8823529481887817,1.4637415409088137,0.9,0.1,0.3
0,boston,IR,2,0.8823529481887817,1.3015542030334473,0.9,0.1,0.1
0,boston,IR,3,0.8823529481887817,1.211299180984497,0.9,0.1,0.3
0,boston,IR,4,0.8823529481887817,1.6954231262207031,0.9,0.0001,0.1
0,boston,IR,5,0.9117647409439088,1.2391397953033447,0.9,0.05,0.1
0,boston,IR,6,0.8921568989753723,1.3095824718475342,0.9,0.05,0.1
0,boston,IR,7,0.9117647409439088,1.2508996725082395,0.9,0.05,0.2
0,boston,IR,8,0.8529412746429443,1.6485376358032229,0.9,0.0001,0.1
0,boston,IR,9,0.8725490570068359,1.3513257503509521,0.9,0.05,0.2
