,dataset,loss,seed,coverage,length,target,lr,dropout
0,boston,RQR-W,0,0.8921568989753723,1.0726969242095947,0.9,0.05,0.2
0,boston,RQR-W,1,0.8725490570068359,1.0401582717895508,0.9,0.05,0.1
0,boston,RQR-W,2,0.8529412746429443,1.171640157699585,0.9,0.1,0.1
0,boston,RQR-W,3,0.8823529481887817,1.1024808883666992,0.9,0.005,0.2
0,boston,RQR-W,4,0.8627451062202454,1.1069538593292236,0.9,0.05,0.1
0,boston,RQR-W,5,0.901960790157318,1.109155774116516,0.9,0.01,0.1
0,boston,RQR-W,6,0.8823529481887817,1.0952377319335938,0.9,0.005,0.3
0,boston,RQR-W,7,0.843137264251709,1.0342315435409546,0.9,0.1,0.1
0,boston,RQR-W,8,0.8823529481887817,1.0542378425598145,0.9,0.005,0.3
0,boston,RQR-W,9,0.843137264251709,1.0119627714157104,0.9,0.05,0.2
