,dataset,loss,seed,coverage,length,target,lr,dropout
0,boston,SQR,0,0.8529412746429443,1.2144581079483032,0.9,0.05,0.2
0,boston,SQR,1,0.833333432674408,1.1221598386764526,0.9,0.01,0.3
0,boston,SQR,2,0.8725490570068359,1.1871507167816162,0.9,0.01,0.3
0,boston,SQR,3,0.8725490570068359,1.1485861539840698,0.9,0.01,0.1
0,boston,SQR,4,0.8529412746429443,1.210551619529724,0.9,0.01,0.2
0,boston,SQR,5,0.8529412746429443,1.2327158451080322,0.9,0.01,0.3
0,boston,SQR,6,0.8137255907058716,0.9200957417488098,0.9,0.005,0.3
0,boston,SQR,7,0.833333432674408,1.00542414188385,0.9,0.01,0.2
0,boston,SQR,8,0.7941177487373352,0.9549643993377686,0.9,0.005,0.1
0,boston,SQR,9,0.833333432674408,1.2105484008789062,0.9,0.01,0.2
