,dataset,loss,seed,coverage,length,target,lr,dropout
0,boston,SQRN,0,0.843137264251709,1.0222690473584568,0.9,0.05,0.2
0,boston,SQRN,1,0.7941177487373352,1.0257165800122654,0.9,0.01,0.3
0,boston,SQRN,2,0.8137255907058716,1.0698834339193268,0.9,0.01,0.3
0,boston,SQRN,3,0.8725490570068359,1.0770374445938595,0.9,0.01,0.1
0,boston,SQRN,4,0.843137264251709,1.1253417569632624,0.9,0.01,0.2
0,boston,SQRN,5,0.8529412746429443,1.0927224258581798,0.9,0.01,0.3
0,boston,SQRN,6,0.8039215803146362,0.8833543406982047,0.9,0.005,0.3
0,boston,SQRN,7,0.833333432674408,0.9635138464908972,0.9,0.01,0.2
0,boston,SQRN,8,0.8039215803146362,0.93724292020003,0.9,0.005,0.1
0,boston,SQRN,9,0.833333432674408,1.1347491562950844,0.9,0.01,0.2
