,dataset,loss,seed,coverage,length,target,lr,dropout
0,concrete,RQR-W,0,0.8786407709121704,1.3717286586761477,0.9,0.05,0.2
0,concrete,RQR-W,1,0.8834951519966125,1.378239631652832,0.9,0.05,0.3
0,concrete,RQR-W,2,0.8640776872634888,1.317461609840393,0.9,0.05,0.3
0,concrete,RQR-W,3,0.8834951519966125,1.4590086936950684,0.9,0.01,0.1
0,concrete,RQR-W,4,0.8640776872634888,1.3556184768676758,0.9,0.05,0.2
0,concrete,RQR-W,5,0.9126213788986206,1.4195250272750854,0.9,0.05,0.3
0,concrete,RQR-W,6,0.7864077687263489,1.269690990447998,0.9,0.05,0.1
0,concrete,RQR-W,7,0.8786407709121704,1.3612574338912964,0.9,0.005,0.3
0,concrete,RQR-W,8,0.8786407709121704,1.2717304229736328,0.9,0.05,0.3
0,concrete,RQR-W,9,0.9029126167297363,1.3932346105575562,0.9,0.01,0.2
