,dataset,loss,seed,coverage,length,target,lr,dropout
0,concrete,SQR,0,0.8300970792770386,1.2630047798156738,0.9,0.01,0.3
0,concrete,SQR,1,0.8786407709121704,1.4760267734527588,0.9,0.05,0.1
0,concrete,SQR,2,0.8592233061790466,1.3157085180282593,0.9,0.005,0.2
0,concrete,SQR,3,0.8592233061790466,1.4141960144042969,0.9,0.05,0.1
0,concrete,SQR,4,0.8495145440101624,1.3748631477355957,0.9,0.01,0.1
0,concrete,SQR,5,0.9126213788986206,1.5218818187713623,0.9,0.005,0.3
0,concrete,SQR,6,0.7718446850776672,1.2164064645767212,0.9,0.0005,0.1
0,concrete,SQR,7,0.8883495330810547,1.4950098991394043,0.9,0.05,0.3
0,concrete,SQR,8,0.844660222530365,1.3568388223648071,0.9,0.1,0.2
0,concrete,SQR,9,0.9368932247161865,1.5733482837677002,0.9,0.05,0.3
