,dataset,loss,seed,coverage,length,target,lr,dropout
0,energy,RQR-W,0,0.8701298832893372,1.212287425994873,0.9,0.1,0.2
0,energy,RQR-W,1,0.850649356842041,1.153235912322998,0.9,0.05,0.3
0,energy,RQR-W,2,0.91558438539505,1.2562057971954346,0.9,0.1,0.2
0,energy,RQR-W,3,0.8831169009208679,1.2686965465545654,0.9,0.1,0.3
0,energy,RQR-W,4,0.9220778942108154,1.3103485107421875,0.9,0.05,0.2
0,energy,RQR-W,5,0.8896104097366333,1.3465120792388916,0.9,0.01,0.2
0,energy,RQR-W,6,0.9090909361839294,1.290515661239624,0.9,0.05,0.1
0,energy,RQR-W,7,0.8896104097366333,1.1245404481887815,0.9,0.05,0.3
0,energy,RQR-W,8,0.8636363744735718,1.268548846244812,0.9,0.01,0.1
0,energy,RQR-W,9,0.8636363744735718,1.207671046257019,0.9,0.05,0.2
