,dataset,loss,seed,coverage,length,target,lr,dropout
0,energy,SQRN,0,0.8571428656578064,1.222132882127514,0.9,0.01,0.2
0,energy,SQRN,1,0.8571428656578064,1.2080830550426016,0.9,0.05,0.1
0,energy,SQRN,2,0.8766233921051025,1.2521246478155064,0.9,0.005,0.3
0,energy,SQRN,3,0.8246753215789795,1.2914814587150305,0.9,0.0005,0.1
0,energy,SQRN,4,0.9285714030265808,1.2405695750728831,0.9,0.01,0.3
0,energy,SQRN,5,0.8831169009208679,1.2335389978312827,0.9,0.005,0.3
0,energy,SQRN,6,0.8961039185523987,1.247331176098291,0.9,0.005,0.1
0,energy,SQRN,7,0.8766233921051025,1.20739658060786,0.9,0.01,0.1
0,energy,SQRN,8,0.8246753215789795,1.2118930597003408,0.9,0.0005,0.3
0,energy,SQRN,9,0.8051947951316833,1.2358611496044447,0.9,0.0005,0.3
