,dataset,loss,seed,coverage,length,target,lr,dropout
0,energy,WS,0,0.8376623392105103,1.2378841638565063,0.9,0.01,0.1
0,energy,WS,1,0.8571428656578064,1.2662668228149414,0.9,0.05,0.1
0,energy,WS,2,0.9285714030265808,1.2829843759536743,0.9,0.05,0.1
0,energy,WS,3,0.8831169009208679,1.2729661464691162,0.9,0.1,0.3
0,energy,WS,4,0.9545454382896424,1.309067726135254,0.9,0.01,0.2
0,energy,WS,5,0.8831169009208679,1.1886683702468872,0.9,0.05,0.2
0,energy,WS,6,0.91558438539505,1.315420627593994,0.9,0.005,0.1
0,energy,WS,7,0.9090909361839294,1.247364163398743,0.9,0.05,0.2
0,energy,WS,8,0.7857142686843872,1.1596931219100952,0.9,0.0005,0.2
0,energy,WS,9,0.850649356842041,1.1973906755447388,0.9,0.05,0.1
