,dataset,loss,seed,coverage,length,target,lr,dropout
0,kin8nm,IR,0,0.9090908765792848,1.295490264892578,0.9,0.1,0.3
0,kin8nm,IR,1,0.897498369216919,1.5298086404800415,0.9,0.05,0.2
0,kin8nm,IR,2,0.8938376903533936,1.2077751159667969,0.9,0.1,0.3
0,kin8nm,IR,3,0.8907869458198547,1.217026710510254,0.9,0.1,0.3
0,kin8nm,IR,4,0.8926173448562622,1.607089638710022,0.9,0.0005,0.1
0,kin8nm,IR,5,0.9005489945411682,1.20534086227417,0.9,0.1,0.1
0,kin8nm,IR,6,0.9194629788398744,1.2502686977386477,0.9,0.1,0.1
0,kin8nm,IR,7,0.9066503643989564,1.5768275260925293,0.9,0.0005,0.1
0,kin8nm,IR,8,0.9078705310821532,1.2512102127075195,0.9,0.05,0.3
0,kin8nm,IR,9,0.904819905757904,1.4639556407928467,0.9,0.05,0.1
