,dataset,loss,seed,coverage,length,target,lr,dropout
0,kin8nm,SQR,0,0.8560096621513367,1.1142442226409912,0.9,0.01,0.3
0,kin8nm,SQR,1,0.8724831938743591,1.1422313451766968,0.9,0.05,0.1
0,kin8nm,SQR,2,0.8505185842514038,1.098965048789978,0.9,0.01,0.2
0,kin8nm,SQR,3,0.8865161538124084,1.1603217124938965,0.9,0.05,0.3
0,kin8nm,SQR,4,0.8724831938743591,1.142364740371704,0.9,0.01,0.3
0,kin8nm,SQR,5,0.8828552961349487,1.1646955013275146,0.9,0.01,0.3
0,kin8nm,SQR,6,0.885905921459198,1.1552432775497437,0.9,0.01,0.1
0,kin8nm,SQR,7,0.8755337595939636,1.1498111486434937,0.9,0.01,0.2
0,kin8nm,SQR,8,0.8895667791366577,1.211686134338379,0.9,0.05,0.1
0,kin8nm,SQR,9,0.8871262669563293,1.1773738861083984,0.9,0.05,0.1
