,dataset,loss,seed,coverage,length,target,lr,dropout
0,kin8nm,WS,0,0.8669920563697815,1.157175064086914,0.9,0.05,0.2
0,kin8nm,WS,1,0.8706527352333069,1.1472933292388916,0.9,0.05,0.2
0,kin8nm,WS,2,0.8602806329727173,1.140676975250244,0.9,0.1,0.2
0,kin8nm,WS,3,0.8840756416320801,1.178488850593567,0.9,0.05,0.3
0,kin8nm,WS,4,0.8694325685501099,1.15179705619812,0.9,0.05,0.2
0,kin8nm,WS,5,0.8895667791366577,1.1887691020965576,0.9,0.05,0.3
0,kin8nm,WS,6,0.8877363204956055,1.1760716438293457,0.9,0.05,0.1
0,kin8nm,WS,7,0.8712628483772278,1.1511118412017822,0.9,0.05,0.2
0,kin8nm,WS,8,0.865161657333374,1.155553936958313,0.9,0.05,0.2
0,kin8nm,WS,9,0.8798047304153442,1.1634981632232666,0.9,0.1,0.1
