,dataset,loss,seed,coverage,length,target,lr,dropout
0,naval,SQRN,0,0.8713866472244263,0.3599188274602087,0.9,0.0001,0.3
0,naval,SQRN,1,0.859237551689148,0.3045194425690758,0.9,0.0001,0.1
0,naval,SQRN,2,0.8990364670753479,0.2187539017694886,0.9,0.05,0.1
0,naval,SQRN,3,0.9141181111335754,0.3581069509105099,0.9,0.0001,0.1
0,naval,SQRN,4,0.865940511226654,0.3241806360134082,0.9,0.0001,0.2
0,naval,SQRN,5,0.8747381567955017,0.3338476270999077,0.9,0.0001,0.1
0,naval,SQRN,6,0.900293231010437,0.2907440475105091,0.9,0.0001,0.1
0,naval,SQRN,7,0.9622957706451416,0.3749456882826394,0.9,0.0001,0.1
0,naval,SQRN,8,0.8642647862434387,0.3518007029710976,0.9,0.0001,0.1
0,naval,SQRN,9,0.8357771039009094,0.2753216760599019,0.9,0.0001,0.1
