,dataset,loss,seed,coverage,length,target,lr,dropout
0,naval,WS,0,0.8885630369186401,0.0224394332617521,0.9,0.05,0.3
0,naval,WS,1,0.8642647862434387,0.0224237702786922,0.9,0.05,0.2
0,naval,WS,2,0.8751571178436279,0.0224716067314147,0.9,0.1,0.3
0,naval,WS,3,0.8810222148895264,0.0225463174283504,0.9,0.05,0.2
0,naval,WS,4,0.8868873119354248,0.0227052699774503,0.9,0.05,0.3
0,naval,WS,5,0.8789275288581848,0.0226813554763793,0.9,0.05,0.1
0,naval,WS,6,0.8630079627037048,0.0226815454661846,0.9,0.05,0.2
0,naval,WS,7,0.8759949803352356,0.0223413705825805,0.9,0.1,0.3
0,naval,WS,8,0.8940092325210571,0.0232086535543203,0.9,0.05,0.1
0,naval,WS,9,0.897779643535614,0.022619163617491722,0.9,0.05,0.3
