,dataset,loss,seed,coverage,length,target,lr,dropout
0,wine,IR,0,0.921875,1.6671198606491089,0.9,0.0001,0.2
0,wine,IR,1,0.9156250357627868,0.4097779393196106,0.9,0.05,0.3
0,wine,IR,2,0.909375011920929,1.398023009300232,0.9,0.1,0.3
0,wine,IR,3,0.9000000357627869,0.6552233695983887,0.9,0.05,0.1
0,wine,IR,4,0.8843750357627869,0.7532045245170593,0.9,0.05,0.3
0,wine,IR,5,0.893750011920929,1.66387140750885,0.9,0.0001,0.1
0,wine,IR,6,0.875,1.7394999265670776,0.9,0.0001,0.3
0,wine,IR,7,0.918749988079071,1.037326455116272,0.9,0.01,0.2
0,wine,IR,8,0.921875,0.5496636629104614,0.9,0.05,0.3
0,wine,IR,9,0.903124988079071,0.8569244742393494,0.9,0.05,0.1
