,dataset,loss,seed,coverage,length,target,lr,dropout
0,wine,RQR-W,0,0.9156250357627868,0.3990574777126312,0.9,0.05,0.3
0,wine,RQR-W,1,0.8843750357627869,0.3778523504734039,0.9,0.05,0.1
0,wine,RQR-W,2,0.8968750238418579,0.4432239532470703,0.9,0.005,0.3
0,wine,RQR-W,3,0.878125011920929,0.3766208589076996,0.9,0.05,0.1
0,wine,RQR-W,4,0.9000000357627869,0.4144140779972076,0.9,0.05,0.2
0,wine,RQR-W,5,0.8812500238418579,0.4470038414001465,0.9,0.01,0.3
0,wine,RQR-W,6,0.9000000357627869,0.4191524684429168,0.9,0.05,0.1
0,wine,RQR-W,7,0.9000000357627869,0.4873436987400055,0.9,0.01,0.3
0,wine,RQR-W,8,0.90625,0.4150555729866028,0.9,0.05,0.2
0,wine,RQR-W,9,0.9156250357627869,0.4272398054599762,0.9,0.05,0.1
