,dataset,loss,seed,coverage,length,target,lr,dropout
0,wine,SQR,0,0.9468750357627868,0.3718726336956024,0.9,0.05,0.1
0,wine,SQR,1,0.8968750238418579,0.5177276134490967,0.9,0.01,0.3
0,wine,SQR,2,0.90625,0.538688600063324,0.9,0.001,0.1
0,wine,SQR,3,0.9312500357627868,0.3624440133571625,0.9,0.05,0.1
0,wine,SQR,4,0.890625,0.5082861185073853,0.9,0.005,0.1
0,wine,SQR,5,0.8500000238418579,0.3602283298969269,0.9,0.05,0.1
0,wine,SQR,6,0.8843750357627869,0.4928162097930908,0.9,0.001,0.1
0,wine,SQR,7,0.909375011920929,0.5715120434761047,0.9,0.005,0.1
0,wine,SQR,8,0.875,0.5054941177368164,0.9,0.001,0.1
0,wine,SQR,9,0.9125000238418579,0.3640904128551483,0.9,0.05,0.2
