,dataset,loss,seed,coverage,length,target,lr,dropout
0,wine,SQRN,0,0.8656250238418579,0.3422854743897915,0.9,0.05,0.1
0,wine,SQRN,1,0.890625,0.5098144138231874,0.9,0.01,0.3
0,wine,SQRN,2,0.890625,0.5316609442234039,0.9,0.001,0.1
0,wine,SQRN,3,0.840624988079071,0.3334931556135416,0.9,0.05,0.1
0,wine,SQRN,4,0.8968750238418579,0.5025229740887881,0.9,0.005,0.1
0,wine,SQRN,5,0.840624988079071,0.3542722813785076,0.9,0.05,0.1
0,wine,SQRN,6,0.871874988079071,0.4880509681999683,0.9,0.001,0.1
0,wine,SQRN,7,0.893750011920929,0.5622710350900889,0.9,0.005,0.1
0,wine,SQRN,8,0.862500011920929,0.4970927432179451,0.9,0.001,0.1
0,wine,SQRN,9,0.8343750238418579,0.3349748136475683,0.9,0.05,0.2
