,dataset,loss,seed,coverage,length,target,lr,dropout
0,wine,WS,0,0.9468750357627868,0.4013761579990387,0.9,0.01,0.2
0,wine,WS,1,0.909375011920929,0.4099943339824676,0.9,0.05,0.1
0,wine,WS,2,0.953125,0.3566195666790008,0.9,0.1,0.3
0,wine,WS,3,0.9375,0.3645871579647064,0.9,0.05,0.2
0,wine,WS,4,0.928125023841858,0.3718063831329345,0.9,0.05,0.3
0,wine,WS,5,0.921875,0.362568199634552,0.9,0.1,0.2
0,wine,WS,6,0.8812500238418579,0.3778855502605438,0.9,0.05,0.1
0,wine,WS,7,0.953125,0.356408953666687,0.9,0.05,0.3
0,wine,WS,8,0.903124988079071,0.3760316967964172,0.9,0.05,0.1
0,wine,WS,9,0.9625000357627869,0.3575281798839569,0.9,0.05,0.2
