,dataset,loss,seed,coverage,length,target,lr,dropout
0,yacht,IR,0,0.9032257795333862,2.754969358444214,0.9,0.1,0.1
0,yacht,IR,1,0.8870967626571655,6.064775943756104,0.9,0.01,0.3
0,yacht,IR,2,0.774193525314331,2.341628074645996,0.9,0.0005,0.1
0,yacht,IR,3,0.9354837536811828,2.83963394165039,0.9,0.001,0.1
0,yacht,IR,4,0.8870967626571655,3.497748374938965,0.9,0.1,0.3
0,yacht,IR,5,0.9193547368049622,3.590962171554565,0.9,0.05,0.2
0,yacht,IR,6,0.8709677457809448,3.5494184494018555,0.9,0.05,0.3
0,yacht,IR,7,0.8709677457809448,2.295997381210327,0.9,0.0005,0.1
0,yacht,IR,8,0.9032257795333862,14.40923309326172,0.9,0.05,0.2
0,yacht,IR,9,0.9193547368049622,8.557901382446289,0.9,0.1,0.3
