,dataset,loss,seed,coverage,length,target,lr,dropout
0,yacht,RQR-W,0,0.8870967626571655,3.34014892578125,0.9,0.005,0.1
0,yacht,RQR-W,1,0.8548386096954346,3.562716484069824,0.9,0.1,0.1
0,yacht,RQR-W,2,0.8548386096954346,1.997720003128052,0.9,0.01,0.1
0,yacht,RQR-W,3,0.8870967626571655,3.0727035999298096,0.9,0.1,0.2
0,yacht,RQR-W,4,0.8709677457809448,3.4016098976135254,0.9,0.0005,0.2
0,yacht,RQR-W,5,0.9193547368049622,3.272057294845581,0.9,0.01,0.3
0,yacht,RQR-W,6,0.8548386096954346,3.742603063583374,0.9,0.05,0.3
0,yacht,RQR-W,7,0.9032257795333862,2.070697784423828,0.9,0.1,0.3
0,yacht,RQR-W,8,0.9354837536811828,5.576845169067383,0.9,0.01,0.2
0,yacht,RQR-W,9,0.8870967626571655,4.372340202331543,0.9,0.05,0.1
