,dataset,loss,seed,coverage,length,target,lr,dropout
0,yacht,SQR,0,0.8870967626571655,4.282162189483643,0.9,0.05,0.1
0,yacht,SQR,1,0.8387096524238586,4.93154239654541,0.9,0.01,0.2
0,yacht,SQR,2,0.8064514994621277,1.8600623607635496,0.9,0.0005,0.3
0,yacht,SQR,3,0.9032257795333862,4.027929782867432,0.9,0.005,0.2
0,yacht,SQR,4,0.8225806355476379,1.71985924243927,0.9,0.005,0.3
0,yacht,SQR,5,0.8709677457809448,4.480036735534668,0.9,0.005,0.1
0,yacht,SQR,6,0.8548386096954346,4.126337051391602,0.9,0.01,0.1
0,yacht,SQR,7,0.8870967626571655,2.0498738288879395,0.9,0.0005,0.2
0,yacht,SQR,8,0.8548386096954346,4.451962947845459,0.9,0.05,0.2
0,yacht,SQR,9,0.9032257795333862,4.13394832611084,0.9,0.05,0.1
