,dataset,loss,seed,coverage,length,target,lr,dropout
0,yacht,SQRN,0,0.9193547368049622,3.5831522381594105,0.9,0.05,0.1
0,yacht,SQRN,1,0.8387096524238586,3.611263470543968,0.9,0.01,0.2
0,yacht,SQRN,2,0.774193525314331,1.7632286615910069,0.9,0.0005,0.3
0,yacht,SQRN,3,0.9354837536811828,3.334481063929777,0.9,0.005,0.2
0,yacht,SQRN,4,0.8225806355476379,1.6330549708837945,0.9,0.005,0.3
0,yacht,SQRN,5,0.8870967626571655,3.5365179615515854,0.9,0.005,0.1
0,yacht,SQRN,6,0.8548386096954346,3.273167863428112,0.9,0.01,0.1
0,yacht,SQRN,7,0.8709677457809448,1.9361389117736003,0.9,0.0005,0.2
0,yacht,SQRN,8,0.8064514994621277,3.2918963280896985,0.9,0.05,0.2
0,yacht,SQRN,9,0.8548386096954346,3.1055311220547845,0.9,0.05,0.1
