,dataset,loss,seed,coverage,length,target,lr,dropout
0,yacht,WS,0,0.8870967626571655,2.997473955154419,0.9,0.001,0.1
0,yacht,WS,1,0.8548386096954346,3.4253969192504883,0.9,0.001,0.1
0,yacht,WS,2,0.7580645084381104,2.0001120567321777,0.9,0.001,0.1
0,yacht,WS,3,0.9354837536811828,2.530240058898926,0.9,0.0005,0.1
0,yacht,WS,4,0.9032257795333862,3.4643590450286865,0.9,0.0005,0.1
0,yacht,WS,5,0.9032257795333862,3.518402576446533,0.9,0.01,0.2
0,yacht,WS,6,0.8548386096954346,2.8317222595214844,0.9,0.001,0.1
0,yacht,WS,7,0.8870967626571655,1.953653573989868,0.9,0.001,0.1
0,yacht,WS,8,0.9032257795333862,5.309525966644287,0.9,0.05,0.3
0,yacht,WS,9,0.9354837536811829,6.360690116882324,0.9,0.1,0.1
